headline,date,textblob_score,vader_score,average_score,sentiment_category
"

                                China’s Webus International advances $300M XRP treasury plan with SEC filing                            
",04/06/2025,-0.05,0.2023,0.07615,Neutral
"

                                BTC whales take profits as interest shifts to XRP Mining for passive income                            
",04/06/2025,0.0,0.7717,0.38585,Slightly Bullish
"

                                Coldware smashes past $4m; XRP, SOL whales to eye new utility coin                            
",04/06/2025,-0.05681818181818182,0.0,-0.02840909090909091,Neutral
"

                                XRP holders are earning daily returns with RichMiner instead of waiting on the market                            
",03/06/2025,0.0,0.0,0.0,Neutral
"

                                XRP price rallies after getting Dubai approval for RLUSD stablecoin                            
",03/06/2025,0.0,0.4767,0.23835,Slightly Bullish
"

                                XRP struggles near support as XRP investment products record second week of outflows                            
",03/06/2025,0.05,0.0516,0.0508,Neutral
"

                                PUN rises with war room hype, XRP gains SEC edge, and Ethereum scales up                            
",02/06/2025,-0.1,-0.3612,-0.23060000000000003,Slightly Bearish
"

                                VivoPower to tap into BitGo for $100m XRP buy                            
",02/06/2025,0.0,0.0,0.0,Neutral
"

                                Best XRP rivals to buy for the next crypto bull market                            
",02/06/2025,0.5,0.6369,0.56845,Bullish
"

                                XRP holds key support as Wall Street’s quiet moves suggest imminent reversal                            
",02/06/2025,0.0,0.4019,0.20095,Slightly Bullish
"

                                Top 4 reasons why XRP price may surge 50% in June                            
",01/06/2025,0.5,0.2023,0.35115,Slightly Bullish
"

                                Can XRP fall back to $2.20? Ripple foundation making moves                            
",01/06/2025,0.0,0.0,0.0,Neutral
"

                                Ripple effect: XRP plunge puts whale on brink of $8m liquidation                            
",31/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP price approaching critical support: a technical analysis deep dive                            
",30/05/2025,0.0,0.1027,0.05135,Neutral
"

                                Chart of the week: XRP price trend reversal likely, could lead with double-digit gains                             
",30/05/2025,0.0,0.34,0.17,Neutral
"

                                China’s Webus International eyes $300M raise for XRP strategic reserve                             
",30/05/2025,0.0,0.0,0.0,Neutral
"

                                BTC, XRP, DOGE owners create financial freedom through RichMiner cloud mining                            
",29/05/2025,0.0,0.743,0.3715,Slightly Bullish
"

                                XRP, DOGE holders quietly turned to APT Miner for massive passive income                            
",29/05/2025,0.19999999999999998,0.2023,0.20115,Slightly Bullish
"

                                Explore how XRP, BTC, and DOGE holders can earn with Crypto Mining Firm                            
",29/05/2025,-0.2,0.0,-0.1,Neutral
"

                                XRP trades flat despite VivoPower announcing $121M raise to back XRP-focused treasury                            
",29/05/2025,-0.0125,0.5267,0.2571,Slightly Bullish
"

                                XRP forecast indicates $3.50 next, Unilabs leads Q2 gains                            
",28/05/2025,0.0,0.34,0.17,Neutral
"

                                XRP price nears four-month low as death cross looms against Bitcoin                            
",28/05/2025,0.0,-0.765,-0.3825,Slightly Bearish
"

                                New AI coin enters XRP, ADA whales’ radars as presale crosses $1m                            
",28/05/2025,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                XRP vs. Solana: Which altcoin is the better $100k bet in 2025?                            
",27/05/2025,0.5,0.4404,0.4702,Bearish
"

                                Is XRP a smart investment choice? Ways to boost returns in 2025                            
",27/05/2025,0.21428571428571427,0.6597,0.4369928571428571,Bearish
"

                                Recent trend has XRP holders backing this new AI asset manager                            
",27/05/2025,0.06818181818181818,0.3818,0.22499090909090907,Slightly Bullish
"

                                Here’s why XRP price could blast to $10 in 2025                            
",27/05/2025,0.0,0.0,0.0,Neutral
"

                                Unlocking the XRP wealth code: Richminer mining pool 3-step automated earning model                            
",27/05/2025,0.0,0.4939,0.24695,Slightly Bullish
"

                                XRP sees increased downward pressure as 80-week inflow streak ends                             
",27/05/2025,0.0,-0.0258,-0.0129,Neutral
"

                                XRP price prediction: Bullish reversal pattern hints at explosive move                            
",26/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP clings to key support amid sideways action as investors shift focus to upcoming SEC meeting                            
",26/05/2025,0.0,0.4019,0.20095,Slightly Bullish
"

                                XRP could explode after Bitcoin dominance declines, Unilabs crosses $800k raised                            
",23/05/2025,0.0,0.2023,0.10115,Neutral
"

                                XRP price stalls as Polymarket traders bet it will hit ATH in 2025                            
",23/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP eyes breakout as EURØP and USDB stablecoins launch on XRP Ledger                            
",23/05/2025,0.0,0.0,0.0,Neutral
"

                                New AI-DeFi hits crypto scene; is it a compelling alternative to XRP, Dogecoin?                            
",22/05/2025,0.21818181818181817,0.2263,0.2222409090909091,Slightly Bullish
"

                                Volatility Shares launches first XRP futures ETF on Nasdaq                            
",22/05/2025,0.25,0.296,0.273,Slightly Bullish
"

                                Ripple CEO snubbed by Lummis: XRP FUD Fuels crypto drama                            
",22/05/2025,0.0,-0.6249,-0.31245,Slightly Bearish
"

                                Volatility Shares to launch first U.S.-based 1x XRP futures ETF, XRP price hovers above $2.35 support                            
",22/05/2025,0.125,0.5994,0.3622,Slightly Bullish
"

                                XRP momentum stalls near $2.35 support as SEC delays 21Shares XRP ETF decision                            
",21/05/2025,0.0,0.4019,0.20095,Slightly Bullish
"

                                No hardware, no hassle: RichMiner makes BTC, XRP, DOGE mining easy, and rewarding                            
",20/05/2025,0.4666666666666667,0.7174,0.5920333333333334,Bullish
"

                                XRP price forms bullish pattern as whale accumulation grows                            
",20/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP futures debut on CME as Garlinghouse hails key ‘milestone’                            
",19/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP surges; Influencers turn to RichMiner for daily passive income                            
",19/05/2025,0.0,0.2023,0.10115,Neutral
"

                                XRP sideways structure holds as traders eye May 19 CME futures launch as next catalyst                            
",19/05/2025,0.0,0.0,0.0,Neutral
"

                                Top cryptocurrencies to watch this week: Trump Coin, XRP, Zetachain                            
",18/05/2025,0.5,0.2023,0.35115,Slightly Bullish
"

                                New DeFi platform set to challenge XRP with $30 million AUM                            
",18/05/2025,0.13636363636363635,0.0772,0.10678181818181817,Neutral
"

                                New XRP ETF hits an inflow record as XRP price wavers                            
",17/05/2025,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                XRP dips as U.S. court rejects Ripple-SEC settlement bid over procedural misstep                            
",16/05/2025,-0.1,-0.4939,-0.29695,Slightly Bearish
"

                                Why is crypto down today? 3 coins to avoid market downturn XRP, DOGE and TRON                            
",15/05/2025,-0.15555555555555556,-0.296,-0.22577777777777777,Slightly Bearish
"

                                XRP takes real step into DeFi with Flare’s FAssets upgrade                            
",14/05/2025,0.2,0.0,0.1,Neutral
"

                                XRP price prediction 2025: hidden channel points to $4.50 rally                            
",14/05/2025,-0.16666666666666666,0.0,-0.08333333333333333,Neutral
"

                                XRP breaks out of wedge pattern but experts back another PayFi token for 400% gains                            
",14/05/2025,0.0,0.4767,0.23835,Slightly Bullish
"

                                XRP open interest surges over $1B in a week as price eyes major breakout                             
",14/05/2025,0.03125,0.4588,0.245025,Slightly Bullish
"

                                How XRP is leveraging RICH MINER cloud mining for financial growth                            
",13/05/2025,0.1875,0.7351,0.4613,Bearish
"

                                XRP price eyes a 35% surge as Ripple ETF nears $100M milestone                            
",13/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP to explode as SEC settlement reached; This cheap payment token is set to follow                            
",13/05/2025,0.15000000000000002,0.1027,0.12635000000000002,Neutral
"

                                XRP hits two-month highs as breakout momentum points to $3 target                            
",13/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP news: token surpasses USDT in market cap, eyes $3 as altseason brews                            
",12/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP price prediction 2025 as Elliot Wave, bullish pennant activates                            
",12/05/2025,0.0,0.0,0.0,Neutral
"

                                Could XRP’s sluggish performance be related to a new payment token stealing headlines?                            
",12/05/2025,0.06818181818181818,-0.7506,-0.3412090909090909,Slightly Bearish
"

                                XRP eyes fresh breakout above $2.45 as SuperTrend indicator flashes buy signal                            
",12/05/2025,0.15,0.3182,0.23409999999999997,Slightly Bullish
"

                                Using XRP to start a cloud mining project on WinnerMining                            
",11/05/2025,0.0,0.0,0.0,Neutral
"

                                XYZVerse could surge to $25 according to top trader, smashing past DOGE and XRP                            
",11/05/2025,0.125,0.2023,0.16365000000000002,Neutral
"

                                SEC files to settle Ripple lawsuit amid internal opposition. Will XRP vs. SEC case resurface?                            
",09/05/2025,-0.06666666666666667,-0.2263,-0.14648333333333333,Neutral
"

                                Bitcoin analysis, Pi Network updates plus the altcoin poised to replace XRP                            
",08/05/2025,0.0,0.25,0.125,Neutral
"

                                Exploring BTC, XRP, DOGE cloud mining with EarnMining                            
",08/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP’s positive 6-month cost basis defies macro weakness but indicators show slowing momentum                            
",08/05/2025,0.22727272727272727,0.1027,0.16498636363636363,Neutral
"

                                Why XRP must hold $1.50: the line between bullish continuation and breakdown                            
",07/05/2025,0.0,0.0,0.0,Neutral
"

                                Lightchain AI gains attention from TRX, XRP, ETH holders amid 100x growth speculation                            
",07/05/2025,0.0,0.6124,0.3062,Slightly Bullish
"

                                XRP whale wallets surge past 300K — is a breakout on the horizon?                            
",07/05/2025,-0.25,0.0,-0.125,Neutral
"

                                XRP gears up for breakout as whale activity soars for Ripple, Remittix                             
",06/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP struggles within a tight range as network activity hits multi-month lows                            
",06/05/2025,-0.17857142857142858,-0.5106,-0.34458571428571433,Slightly Bearish
"

                                XRP at a crossroads: will $2 hold or crumble?                            
",05/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP short sellers still in control – is a breakdown below $2.05 next?                            
",05/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP unlikely to hit $3 in May, but analysts still see it and this new rival at $10 by 2026                            
",04/05/2025,-0.18181818181818182,0.0,-0.09090909090909091,Neutral
"

                                New XRP ETF reaches $67m AUM as price outperforms Ripple                            
",04/05/2025,0.13636363636363635,0.0516,0.09398181818181818,Neutral
"

                                A look into XRP stability and cloud mining potential                            
",04/05/2025,0.0,0.0,0.0,Neutral
"

                                Here’s why XRP market cap will flip Ethereum in 2025                            
",03/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP flashes bullish signals as EMA’a cross: are bulls in control?                            
",02/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP could hit new highs in May, but these two altcoins might surge 200% sooner                            
",02/05/2025,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                Can XRP price break out? Whale buying spree ignites bullish hopes                            
",02/05/2025,0.0,0.4215,0.21075,Slightly Bullish
"

                                Ripple moves 500M XRP worth $1.1B as market eyes $2.30 resistance                            
",02/05/2025,0.3,0.2263,0.26315,Slightly Bullish
"

                                Ripple price prediction for May 2025 – XRP sideways price action about to end?                             
",01/05/2025,0.1,0.0,0.05,Neutral
"

                                XRP sees 1000% liquidation imbalance as price slips below $2.20                            
",01/05/2025,0.0,0.0,0.0,Neutral
"

                                Why are Bitcoin and altcoins like XRP, Pepe, VeChain going down?                            
",30/04/2025,-0.15555555555555556,0.3612,0.10282222222222223,Neutral
"

                                XRP poised for another 500% surge as bullish pattern reappears, RTX, XLM may follow                            
",30/04/2025,0.0,0.25,0.125,Neutral
"

                                XRP must break the $2.50 cluster of resistance to trade higher                            
",30/04/2025,0.25,0.0,0.125,Neutral
"

                                Trader predicts XYZVerse will hit $5, surpassing Dogecoin, XRP with 15,000% returns                            
",30/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP retraces towards support as SEC delays Franklin Templeton’s ETF decision                            
",30/04/2025,-0.1,0.4019,0.15094999999999997,Neutral
"

                                Can XRP price rise to $5 if the SEC approves Ripple ETFs?                            
",29/04/2025,-0.1,0.4019,0.15094999999999997,Neutral
"

                                Solana or the new XRP? Analysts reveal which crypto is the smarter bet for 2025                            
",29/04/2025,0.13636363636363635,0.4588,0.29758181818181817,Slightly Bullish
"

                                XRP gears up for a comeback: These altcoins could surge 2500% before it hits $5                            
",28/04/2025,0.0,0.0,0.0,Neutral
"

                                Ripple rally holds above $2.30 — is XRP quietly heading toward much bigger targets?                            
",28/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP price pushes past $2.30 ahead of XRPFi DeFi launch                            
",28/04/2025,-0.25,0.0,-0.125,Neutral
"

                                ProShares set to launch three XRP ETFs on April 30                            
",28/04/2025,0.0,0.0,0.0,Neutral
"

                                Top cryptocurrencies to watch this week: Pi Network, XRP, Sui                            
",27/04/2025,0.5,0.2023,0.35115,Slightly Bullish
"

                                XRP aiming for $5? Analysts say this rival $0.07 altcoin could be hot on its heels                            
",26/04/2025,0.25,0.0,0.125,Neutral
"

                                Top three altcoins to buy instead of XRP in the dip- Dogecoin, Solana and ONDO                            
",24/04/2025,0.5,0.2023,0.35115,Slightly Bullish
"

                                CME Group plans to launch XRP futures on May 19                            
",24/04/2025,0.0,0.0,0.0,Neutral
"

                                Can XRP price realistically jump to $1,000 as a pundit predicts?                            
",24/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP eyes $500b market cap while low cap PayFi altcoin begins explosive climb                            
",24/04/2025,0.0,-0.2732,-0.1366,Neutral
"

                                XRP surges as Yeti Ouro investors eagerly await stage 4’s price hike                            
",23/04/2025,0.0,0.4588,0.2294,Slightly Bullish
"

                                XRP, Pi Network prices jump with Bitcoin nearing $95k                            
",23/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP Ledger Foundation issues urgent patch for compromised XRPL SDK                            
",23/04/2025,0.0,0.2023,0.10115,Neutral
"

                                XRP eyes rotation to channel high after confirmed support hold                            
",22/04/2025,0.28,0.4019,0.34095,Slightly Bullish
"

                                What will it take for XRP to replace Bitcoin as digital Gold?                            
",22/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP price eyes a 60% surge as whales buy and Paul Atkins takes over SEC                            
",22/04/2025,-0.1,0.0,-0.05,Neutral
"

                                Oregon’s new lawsuit against Coinbase presses security claims on XRP, even after Ripple settlement                            
",22/04/2025,0.13636363636363635,0.128,0.13218181818181818,Neutral
"

                                Coinbase Derivatives lists CFTC-regulated XRP futures                            
",22/04/2025,0.0,0.0,0.0,Neutral
"

                                SOL, Lightchain AI, XRP target new highs in May: Which is the leading option?                            
",21/04/2025,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                Samson Mow says ETH, SOL, and XRP are overvalued when measured against Bitcoin supply                             
",20/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP price defies good news streak: Can it still hit $5?                            
",19/04/2025,0.7,0.4404,0.5702,Bullish
"

                                XRP price historical trends confirm it could still mint millionaires despite recent plunge to $1.64                            
",18/04/2025,0.0,0.0,0.0,Neutral
"

                                Why XRP could rally 100% even in a crypto crash                            
",18/04/2025,0.0,-0.4019,-0.20095,Slightly Bearish
"

                                HashKey Capital launches Asia’s first XRP Tracker Fund                            
",18/04/2025,0.25,0.0,0.125,Neutral
"

                                XRP price could explode by 55% if this happens                            
",17/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP surges past ETH for six straight months — can the trend last?                            
",17/04/2025,-0.016666666666666663,0.2263,0.10481666666666667,Neutral
"

                                Trust in crypto shaken by Mantra collapse, but XRP ETF sparks institutional optimism, analysts say                            
",17/04/2025,0.0,0.6858,0.3429,Slightly Bullish
"

                                SHIB and XRP show signs of life at key support levels                            
",16/04/2025,0.0,0.4019,0.20095,Slightly Bullish
"

                                XRP, DOGE, Pi Network investors earn $32,050 daily with XY Miners                            
",16/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP leads in new ETF applications ahead of SEC’s deadlines                            
",15/04/2025,0.018181818181818174,0.0,0.009090909090909087,Neutral
"

                                Lightchain AI could flip $5,000 into $1,104,000, reminiscent of XRP gains                            
",15/04/2025,0.0,0.34,0.17,Neutral
"

                                Exploring 5 cryptos with potential in 2025: Lightchain AI, Solana, XRP, and others                            
",15/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP price is surging, YETIO gears up for stage 4 after $3.27m presale raise                            
",15/04/2025,0.0,0.0,0.0,Neutral
"

                                Generating income from cloud mining by integrating XRP and other cryptocurrencies                            
",15/04/2025,-0.125,0.0,-0.0625,Neutral
"

                                Trump tariffs hit Mantra, XRP shows muscle, but Qubetics powers ahead with its crypto presale                            
",15/04/2025,0.0,0.0,0.0,Neutral
"

                                DeepSeek AI chooses an altcoin priced below $0.50 over XRP as 2025’s unique opportunity                            
",14/04/2025,0.375,0.4215,0.39825,Slightly Bullish
"

                                XRP price is about to surge, a critical moment for millions of investors                            
",14/04/2025,0.0,-0.3182,-0.1591,Neutral
"

                                XRP price recovery hits resistance, raising bull trap concerns                            
",14/04/2025,0.0,-0.3182,-0.1591,Neutral
"

                                Will XRP reach $5 this year? Crypto experts predict this new altcoin to get there first                            
",14/04/2025,0.19318181818181818,0.0258,0.10949090909090908,Neutral
"

                                Crypto malware silently steals ETH, XRP, SOL from wallets                            
",13/04/2025,0.0,-0.5106,-0.2553,Slightly Bearish
"

                                XRP could overtake ETH with ETF approval and Ledger integration boost                            
",11/04/2025,0.0,0.7003,0.35015,Slightly Bullish
"

                                XRP forecast: Experts say it will surge 500% to $12.5                            
",11/04/2025,0.0,0.0,0.0,Neutral
"

                                Ripple and SEC file joint motion to pause XRP lawsuit appeals                            
",11/04/2025,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                XRP to $45? XRP’s climb may take years, this token is surging today                            
",11/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP price forms bearish head and shoulders pattern: impending collapse towards $0.61?                            
",10/04/2025,0.0,-0.4939,-0.24695,Slightly Bearish
"

                                Cryptos gaining investor attention in 2025, XRP’s biggest threat revealed                            
",10/04/2025,0.0,-0.1531,-0.07655,Neutral
"

                                Is XRP about to surge? Investors are accumulating P2E sensation Yeti Ouro                            
",10/04/2025,0.0,0.0,0.0,Neutral
"

                                Bitcoin, Ethereum, XRP, and altcoin prices boosted as U.S. inflation dives                            
",10/04/2025,0.0,0.3612,0.1806,Neutral
"

                                Could XRP reach $10 as ExoraPad’s EXP token presale nears 90,000 XRP raised?                            
",09/04/2025,0.0,0.0258,0.0129,Neutral
"

                                ZA Miner poised to surpass traditional methods, attracting XRP and DOGE investors                            
",09/04/2025,0.0,0.6249,0.31245,Slightly Bullish
"

                                Key Fed forecast could boost Bitcoin, Cardano, XRP, and other altcoins                            
",09/04/2025,-0.0625,0.4019,0.1697,Neutral
"

                                XRP correction may be ending as bulls watch $2 breakout zone                            
",09/04/2025,0.0,0.0,0.0,Neutral
"

                                XRP and Cardano crash but XYZVerse gains traction as investors bet on a 5x breakout                            
",08/04/2025,0.0,0.3071,0.15355,Neutral
"

                                XRP price forms doji after bullish Ripple news, gains to be short-lived                            
",08/04/2025,0.0,0.34,0.17,Neutral
"

                                XRP forecast: Kraken adds RLUSD as investors turn toward new viral GameFi token                            
",08/04/2025,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                Teucrium to launch first leveraged XRP ETF in the U.S. after SEC approval                            
",08/04/2025,0.075,0.4767,0.27585,Slightly Bullish
